first,second,result
अ,अ,आ
अ,आ,आ
अ,इ,ए
अ,ई,ए
अ,उ,ओ
अ,ऊ,ओ
अ,ऋ,अर्
अ,ॠ,अर्
अ,ऌ,अल्
अ,ॡ,अल्
अ,ए,ऐ
अ,ऐ,ऐ
अ,ओ,औ
अ,औ,औ
आ,अ,आ
आ,आ,आ
आ,इ,ए
आ,ई,ए
आ,उ,ओ
आ,ऊ,ओ
आ,ऋ,अर्
आ,ॠ,अर्
आ,ऌ,अल्
आ,ॡ,अल्
आ,ए,ऐ
आ,ऐ,ऐ
आ,ओ,औ
आ,औ,औ
इ,अ,य् अ
इ,आ,य् आ
इ,इ,ई
इ,ई,ई
इ,उ,य् उ
इ,ऊ,य् ऊ
इ,ऋ,य् ऋ
इ,ॠ,य् ॠ
इ,ऌ,य् ऌ
इ,ॡ,य् ॡ
इ,ए,य् ए
इ,ऐ,य् ऐ
इ,ओ,य् ओ
इ,औ,य् औ
ई,अ,य् अ
ई,आ,य् आ
ई,इ,ई
ई,ई,ई
ई,उ,य् उ
ई,ऊ,य् ऊ
ई,ऋ,य् ऋ
ई,ॠ,य् ॠ
ई,ऌ,य् ऌ
ई,ॡ,य् ॡ
ई,ए,य् ए
ई,ऐ,य् ऐ
ई,ओ,य् ओ
ई,औ,य् औ
उ,अ,व् अ
उ,आ,व् आ
उ,इ,व् इ
उ,ई,व् ई
उ,उ,ऊ
उ,ऊ,ऊ
उ,ऋ,व् ऋ
उ,ॠ,व् ॠ
उ,ऌ,व् ऌ
उ,ॡ,व् ॡ
उ,ए,व् ए
उ,ऐ,व् ऐ
उ,ओ,व् ओ
उ,औ,व् औ
ऊ,अ,व् अ
ऊ,आ,व् आ
ऊ,इ,व् इ
ऊ,ई,व् ई
ऊ,उ,ऊ
ऊ,ऊ,ऊ
ऊ,ऋ,व् ऋ
ऊ,ॠ,व् ॠ
ऊ,ऌ,व् ऌ
ऊ,ॡ,व् ॡ
ऊ,ए,व् ए
ऊ,ऐ,व् ऐ
ऊ,ओ,व् ओ
ऊ,औ,व् औ
ऋ,अ,र् अ
ऋ,आ,र् आ
ऋ,इ,र् इ
ऋ,ई,र् ई
ऋ,उ,र् उ
ऋ,ऊ,र् ऊ
ऋ,ऋ,ॠ
ऋ,ॠ,ॠ
ऋ,ऌ,र् ऌ
ऋ,ॡ,र् ॡ
ऋ,ए,र् ए
ऋ,ऐ,र् ऐ
ऋ,ओ,र् ओ
ऋ,औ,र् औ
ॠ,अ,र् अ
ॠ,आ,र् आ
ॠ,इ,र् इ
ॠ,ई,र् ई
ॠ,उ,र् उ
ॠ,ऊ,र् ऊ
ॠ,ऋ,ॠ
ॠ,ॠ,ॠ
ॠ,ऌ,र् ऌ
ॠ,ॡ,र् ॡ
ॠ,ए,र् ए
ॠ,ऐ,र् ऐ
ॠ,ओ,र् ओ
ॠ,औ,र् औ
ए,अ,ए ऽ
ए,आ,अ आ
ए,इ,अ इ
ए,ई,अ ई
ए,उ,अ उ
ए,ऊ,अ ऊ
ए,ऋ,अ ऋ
ए,ॠ,अ ॠ
ए,ऌ,अ ऌ
ए,ॡ,अ ॡ
ए,ए,अ ए
ए,ऐ,अ ऐ
ए,ओ,अ ओ
ए,औ,अ औ
ऐ,अ,आ अ
ऐ,आ,आ आ
ऐ,इ,आ इ
ऐ,ई,आ ई
ऐ,उ,आ उ
ऐ,ऊ,आ ऊ
ऐ,ऋ,आ ऋ
ऐ,ॠ,आ ॠ
ऐ,ऌ,आ ऌ
ऐ,ॡ,आ ॡ
ऐ,ए,आ ए
ऐ,ऐ,आ ऐ
ऐ,ओ,आ ओ
ऐ,औ,आ औ
औ,अ,आव् अ
औ,आ,आव् आ
औ,इ,आव् इ
औ,ई,आव् ई
औ,उ,आव् उ
औ,ऊ,आव् ऊ
औ,ऋ,आव् ऋ
औ,ॠ,आव् ॠ
औ,ऌ,आव् ऌ
औ,ॡ,आव् ॡ
औ,ए,आव् ए
औ,ऐ,आव् ऐ
औ,ओ,आव् ओ
औ,औ,आव् औ
अ,छ्,अ च्छ्
इ,छ्,इ च्छ्
उ,छ्,उ च्छ्
ऋ,छ्,ऋ च्छ्
ऌ,छ्,ऌ च्छ्
अस्,अ,ओ ऽ
अस्,आ,अ आ
अस्,इ,अ इ
अस्,ई,अ ई
अस्,उ,अ उ
अस्,ऊ,अ ऊ
अस्,ऋ,अ ऋ
अस्,ॠ,अ ॠ
अस्,ऌ,अ ऌ
अस्,ॡ,अ ॡ
अस्,ए,अ ए
अस्,ऐ,अ ऐ
अस्,ओ,अ ओ
अस्,औ,अ औ
अस्,क्,अः क्
अस्,ख्,अः ख्
अस्,ग्,ओ ग्
अस्,घ्,ओ घ्
अस्,ङ्,ओ ङ्
अस्,च्,अश् च्
अस्,छ्,अश् छ्
अस्,ज्,ओ ज्
अस्,झ्,ओ झ्
अस्,ञ्,ओ ञ्
अस्,ट्,अष् ट्
अस्,ठ्,अष् ठ्
अस्,ड्,ओ ड्
अस्,ढ्,ओ ढ्
अस्,ण्,ओ ण्
अस्,त्,अस् त्
अस्,थ्,अस् थ्
अस्,द्,ओ द्
अस्,ध्,ओ ध्
अस्,न्,ओ न्
अस्,प्,अः प्
अस्,फ्,अः फ्
अस्,ब्,ओ ब्
अस्,भ्,ओ भ्
अस्,म्,ओ म्
अस्,य्,ओ य्
अस्,र्,ओ र्
अस्,ल्,ओ ल्
अस्,व्,ओ व्
अस्,श्,अः श्
अस्,ष्,अः ष्
अस्,स्,अः स्
अस्,ह्,ओ ह्
आस्,अ,आ अ
आस्,आ,आ आ
आस्,इ,आ इ
आस्,ई,आ ई
आस्,उ,आ उ
आस्,ऊ,आ ऊ
आस्,ऋ,आ ऋ
आस्,ॠ,आ ॠ
आस्,ऌ,आ ऌ
आस्,ॡ,आ ॡ
आस्,ए,आ ए
आस्,ऐ,आ ऐ
आस्,ओ,आ ओ
आस्,औ,आ औ
आस्,क्,आः क्
आस्,ख्,आः ख्
आस्,ग्,आ ग्
आस्,घ्,आ घ्
आस्,ङ्,आ ङ्
आस्,च्,आश् च्
आस्,छ्,आश् छ्
आस्,ज्,आ ज्
आस्,झ्,आ झ्
आस्,ञ्,आ ञ्
आस्,ट्,आष् ट्
आस्,ठ्,आष् ठ्
आस्,ड्,आ ड्
आस्,ढ्,आ ढ्
आस्,ण्,आ ण्
आस्,त्,आस् त्
आस्,थ्,आस् थ्
आस्,द्,आ द्
आस्,ध्,आ ध्
आस्,न्,आ न्
आस्,प्,आः प्
आस्,फ्,आः फ्
आस्,ब्,आ ब्
आस्,भ्,आ भ्
आस्,म्,आ म्
आस्,य्,आ य्
आस्,र्,आ र्
आस्,ल्,आ ल्
आस्,व्,आ व्
आस्,श्,आः श्
आस्,ष्,आः ष्
आस्,स्,आः स्
आस्,ह्,आ ह्
अर्,अ,अर् अ
अर्,आ,अर् आ
